article_url,article_caption,article_body
https://www.investopedia.com/terms/1/48-hour-rule.asp,48-Hour Rule,The 48-hour rule is a requirement that sellers of to-be-announced mortgage-backed securities (MBS) communicate all pool information regarding the transactions to buyers before 3 p.m. EST 48 hours before the settlement date of the trade. The Securities Industry And Financial Markets Association (SIFMA) enforces this rule. SIFMA was formerly known as the Public Securities Association or Bond Market Association.
https://www.investopedia.com/terms/f/five-by-five.asp,5 by 5 Power in Trust,A “5 by 5 Power in Trust” is a common clause in many trusts that allows the trust’s beneficiary to make certain withdrawals. Specifically a 5 by 5 Power (also called a 5 by 5 Clause) gives the beneficiary the ability to withdraw the greater of: a) $5000 or b) 5% of the trusts fair market value (FMV) from the trust each year. (FMV is the price that property would sell for at present on the open market.)
https://www.investopedia.com/terms/1/5-1_arm.asp,5/1 Hybrid Adjustable-Rate Mortgage (5/1 Hybrid ARM),A 5/1 hybrid adjustable-rate mortgage (5/1 hybrid ARM) begins with an initial five-year fixed-interest rate followed by a rate that adjusts on an annual basis. The 5 in the term refers to the number of years with a fixed rate and the 1 refers to how often the rate adjusts after that (once per year). As such monthly payments can go up—sometimes dramatically—after five years.
https://www.investopedia.com/terms/1/5-6_hybrid_arm.asp,5-6 Hybrid Adjustable-Rate Mortgage (5-6 Hybrid ARM),5-6 Hybrid Adjustable-Rate Mortgage (5-6 Hybrid ARM) is an adjustable-rate mortgage with an initial five-year fixed interest rate after which the interest rate begins to adjust every six months according to an index plus a margin known as the fully indexed interest rate. The index is variable while the margin is fixed for the life of the loan.
https://www.investopedia.com/terms/5/500-shareholder-threshold.asp,500 Shareholder Threshold,500 shareholder threshold for investors was a previous rule of the Securities and Exchange Commission (SEC) that triggered public reporting requirements of a company. Section 12(g) of the Securities Exchange Act of 1934 calls for issuers of securities to register with the SEC and begin public dissemination of financial information within 120 days of the end of a fiscal year.
https://www.investopedia.com/terms/1/501c.asp,501(c),The 501(c) is a subsection under the United States Internal Revenue Code. The subsection relates to non-profit organizations and tax law and identifies which nonprofit organizations are exempt from paying federal income tax.
https://www.investopedia.com/terms/1/501c3-organizations.asp,501(c)(3) Organizations,Section 501(C)(3) is an Internal Revenue Code (IRC) for nonprofit organizations that have been approved for tax-exempt purposes. Organizations under section 501(c)(3) of the IRC are commonly known as charitable organizations.
https://www.investopedia.com/terms/1/51-attack.asp,51% Attack,51% attack refers to an attack on a blockchain – usually bitcoins for which such an attack is still hypothetical – by a group of miners controlling more than 50% of the networks mining hashrate or computing power. The attackers would be able to prevent new transactions from gaining confirmations allowing them to halt payments between some or all users. They would also be able to reverse transactions that were completed while they were in control of the network meaning they could double-spend coins.
https://www.investopedia.com/terms/1/52weekhighlow.asp,52-Week High/Low,A 52-week high/low is the highest and lowest price at which a stock has traded during the previous year. It is a technical indicator used by some traders and investors who view the 52-week high or low as an important factor in determining a stocks current value and predicting future price movement.
https://www.investopedia.com/terms/1/52-week-range.asp,52-Week Range,The 52-week range shows the lowest and highest price at which a stock has traded at in the previous 52 weeks. Investors can find a stocks 52-week range in a stocks quote summary along with other information such as the daily price change and year-to-date change. Companies that have traded for less than a year still show a 52-week range even though there isnt data for the full range.
https://www.investopedia.com/terms/1/529plan.asp,529 Plan,A 529 plan provides tax advantages when saving and paying for higher education. There are two major types prepaid tuition plans and savings plans. Prepaid tuition plans allow the plan holder to pay for the beneficiarys tuition and fees at designated institutions in advance. Savings plans are tax-advantaged investment vehicles similar to IRAs. 
https://www.investopedia.com/terms/1/529-prepaid-tuition-plan.asp,529 Prepaid Tuition Plan,A 529 prepaid tuition plan is a way to pay the cost of tomorrow’s college-inflated tuition prices at current costs.
https://www.investopedia.com/terms/1/529-savings-plan.asp,529 Savings Plan,A tax-advantaged method of saving for future college expenses authorized by Section 529 of the Internal Revenue Code. Legally known as “qualified tuition plans” 529 Savings Plans are sponsored by states state agencies or educational institutions and may be used to cover a recipient’s tuition room board books computers and other expenses. The money contributed to the account may be invested in equity or fixed income mutual funds as well as money market funds exchange-traded funds (ETFs) and a principal-protected bank products. In most cases the earnings are not subject to federal or state taxes provided the money is used only for qualified college expenses. The plans are open to both adults and children beneficiaries.
https://www.investopedia.com/terms/1/60-plus-delinquencies.asp,60-Plus Delinquencies,60-plus delinquency rates are home loans that are more than 60 days past due on their monthly mortgage payments. 60-plus delinquency rates are typically expressed as a percentage of a group of loans written within a specified time period such as a given calendar year. Another common grouping method are the interest rates for the pool of loans that make up a mortgage-backed security (MBS) or other securitized mortgage product.
https://www.investopedia.com/terms/1/8a-firm.asp,8(a) Firm,An 8(a) firm is a small business that is owned and operated by socially or economically disadvantaged individuals. The status is designated by the Small Business Administration (SBA) the United States agency charged with supporting the growth and development of small businesses.
https://www.investopedia.com/terms/1/8-k.asp,8-K (Form 8K),An 8-K is a report of unscheduled material events or corporate changes at a company that could be of importance to the shareholders or the Securities and Exchange Commission (SEC). Also known as a Form 8-K the report notifies the public of events reported including acquisition bankruptcy resignation of directors or a change in the fiscal year.
https://www.investopedia.com/terms/8/80_10_10_mortgage.asp,80-10-10 Mortgage,An 80-10-10 mortgage is a loan where the first and second mortgages happen simultaneously. The first mortgage lien has an 80-percent loan-to-value ratio (LTV ratio) the second mortgage lien has a 10-percent loan-to-value ratio and the borrower will make a 10-percent down payment. 
https://www.investopedia.com/terms/1/80-20-rule.asp,80-20 Rule,The 80-20 rule is an aphorism which asserts that 80% of outcomes (or outputs) result from 20% of all causes (or inputs) for a given event. In business a goal of the 80-20 rule is to identify inputs that are potentially the most productive and make them the priority. For instance once a manager identifies factors that are critical to her companys success then she should give them the most focus.
https://www.investopedia.com/terms/1/83b-election.asp,83(b) Election,The 83(b) election is a provision under the Internal Revenue Code (IRC) that gives an employee or startup founder the option to pay taxes on the total fair market value of restricted stock at the time of granting.
https://www.investopedia.com/terms/1/90-age-formula.asp,ERROR FOR THIS URL,
https://www.investopedia.com/terms/1/90dayletter.asp,90-Day Letter,90-Day Letter is an IRS notice stating that there was a discrepancy or error within an individuals taxes and they will be assessed unless petitioned. The taxpayer has 90 days to respond otherwise the audit deficiencies will result in reassessment. Also known as a Notice of Deficiency. 
https://www.investopedia.com/terms/1/90-10-strategy.asp,90/10 Strategy,Legendary investor Warren Buffett invented the “90/10 investing strategy for the investment of retirement savings. The method involves deploying 90% of ones investment capital into interest-bearing instruments which present a lower degree of investment risk while allocating the remaining 10% of money towards higher-risk investments. This system is a relatively conservative investment strategy which aims to generate higher yields on the overall portfolio. Following this method proponents profess the potential losses will typically be limited to the 10% invested in the high-risk investments. However much depends on the quality of the interest-bearing bonds purchased.
https://www.investopedia.com/terms/a/a.asp,Stock Symbol (Ticker),A stock symbol is a unique series of letters assigned to a security for trading purposes. New York Stock Exchange (NYSE) and American Stock Exchange (AMEX) listed stocks have three characters or less. Nasdaq-listed securities have four or five characters.
https://www.investopedia.com/terms/a/apriori.asp,A Priori Probability,A priori probability is calculated by logically examining a circumstance or existing information regarding a situation. It usually deals with independent events where the likelihood of a given event occurring is in no way influenced by previous events. An example of this would be a coin toss. The largest drawback to this method of defining probabilities is that it can only be applied to a finite set of events as most events are subject to conditional probability to at least a small degree.
https://www.investopedia.com/terms/a/a-round-private-equity.asp,A Round Financing,“A” round financing is the first major round of business financing by private equity investors or venture capitalists. In private equity investing an A round or Series A financing is usually in the form of convertible preferred stock. An A round by external investors generally takes place after the founders have used their seed money to provide a proof of concept demonstrating that their business concept is viable and will eventually be profitable.
https://www.investopedia.com/terms/a/a-a1.asp,A+/A1,A+/A1 are ratings issued to long-term bond issuers by Moodys and S&P respectively. The rating of the issuer designates the creditworthiness of the issuer. A+/A1 is the fifth highest rating a debt issuer can receive. It is six rankings above the cutoff that separates investment grade debt from high-yield or non-investment grade debt. The A+/A1 rating signifies that the issuer or carrier has stable financial backing and ample cash reserves. The risk of default for investors or policyholders is very low.
https://www.investopedia.com/terms/a/a-a3.asp,A-/A3,A-/A3 are ratings issued to long-term bond issuers by Moodys and S&P respectively. The rating of the issuer designates the creditworthiness of the issuer. A-/A3 is the seventh highest rating a debt issuer can receive. It is four rankings above the cutoff that separates investment grade debt from high-yield or non-investment grade debt. The A-/A3 rating signifies that the issuer or carrier has mostly financial backing and some cash reserves. The risk of default for investors or policyholders is somewhat low.
https://www.investopedia.com/terms/a/a-b-split.asp,A-B Split,The A-B split is a method of testing the effectiveness of marketing methods or media. Using A-B split marketing a list of target names is split into two groups on a random basis with one group designated as a control group and the other as a test or variation group. The objective of the A-B split is to determine which single variable is the most effective in improving response rates to a marketing campaign or achieving some other desired outcome. The A-B split is also referred to as A/B testing bucket tests or split-run testing.
https://www.investopedia.com/terms/a/a-b-trust.asp,A-B Trust,An A-B trust is a joint trust created by a married couple for the purpose of minimizing estate taxes. An A-B trust is a trust that divides into two upon the death of the first spouse. It is formed with each spouse placing assets in the trust and naming as the final beneficiary any suitable person except the other spouse.
https://www.investopedia.com/terms/a/a_credit.asp,A-Credit,A-Credit is a top letter grade for a lender to assign to a borrower. Lenders use a credit grading system to qualify borrowers. The higher the borrowers credit grade the lower the interest rate offered to that borrower on a loan.
https://www.investopedia.com/terms/a/a-note.asp,A-Note,An A-note is the highest tranche of an asset-backed security (ABS) or other structured financial product. During bankruptcy default or other credit proceedings an A-note is senior to other notes such as B-notes. This senior status allows the payment from the underlying assets of A-note debt before others.
https://www.investopedia.com/terms/a/ashare.asp,A-Share,An A-share is a share class offered in a family of multi-class mutual funds. A-shares are a common type of class offered for individual retail investors. They are usually characterized by a front-end sales charge when traded through a full service intermediary.
https://www.investopedia.com/terms/a/a-shares.asp,China A-Shares,China A-shares are the stock shares of mainland China-based companies that trade on the two Chinese stock exchanges the Shanghai Stock Exchange (SSE) and the Shenzhen Stock Exchange (SZSE). Historically the shares were historically only available for purchase by mainland citizens due to Chinas restrictions on foreign investment. However since 2003 select foreign institutions have been able to purchase these shares through the Qualified Foreign Institutional Investor (QFII) system. Established in 2002 the QFII program allows specified licensed international investors to buy and sell on mainland Chinas stock exchanges.
https://www.investopedia.com/terms/a/a-michael-spence.asp,A. Michael Spence,A. Michael Spence is an American economist who has won the Nobel Memorial Prize in Economic Sciences.
https://www.investopedia.com/terms/a/a-m-best.asp,A.M. Best,A.M. Best is a credit rating agency focused on the worldwide insurance industry. Founded in New York City in 1899 by Alfred M. Best the privately held company is headquartered in Oldwick New Jersey. Both the U.S. Securities and Exchange Commission and the National Association of Insurance Commissioners have designated the company a nationally recognized statistical rating organization.
https://www.investopedia.com/terms/a/aa-aa1.asp,AA+/Aa1,AA+/Aa1 are ratings issued to long-term bond issuers by Moodys and S&P respectively. The rating of the issuer designates the creditworthiness of the issuer. AA+/Aa1 is the second highest rating a debt issuer can receive. It is eight rankings above the cutoff that separates investment grade debt from high-yield or non-investment grade debt. The AA+/Aa1 rating signifies that the issuer or carrier has strong financial backing and cash reserves. The risk of default for investors or policyholders is low.
https://www.investopedia.com/terms/a/a-a2.asp,Aa2,Aa2 is the third highest credit rating that ratings agency Moody’s assigns to fixed income securities like bonds. The higher the rating the more likely the issuer is to meet its financial commitments and the lower the risk of default.
https://www.investopedia.com/terms/a/aaa.asp,AAA,AAA is the highest possible rating assigned to an issuers bonds by credit rating agencies. An AAA-rated bond has an exceptional degree of creditworthiness because the issue can easily meet its financial commitments. The ratings agencies Standard & Poors (S&P) and Fitch Ratings use the AAA to identify bonds with the highest credit quality while Moodys uses AAA is the top credit rating.
https://www.investopedia.com/terms/a/aaaa-spot-contract.asp,AAAA Spot Contract,An AAAA spot contract is a standardized contract created by the American Association of Advertising Agencies for the purchase of T.V. or radio spots. The AAAA spot contract is generally between the advertising agency that represents the client and the television or radio station. The contract spells out all relevant details of the purchase such as the number of commercial spots and the duration of the advertising campaign the date and time of airing the spots and the cost to the advertiser.
https://www.investopedia.com/terms/a/aarons-law.asp,Aarons Law,Aaron’s Law is a term that refers to a bill introduced in the United States Congress in 2013. The bill did not pass.
https://www.investopedia.com/terms/a/aarp.asp,AARP,AARP is Americas leading organization for people age fifty and older providing member benefits marketing services and lobbying on their behalf. Founded in 1958 by retired educator Dr. Ethel Percy Andrus as the American Association of Retired Persons AARP is a nonprofit nonpartisan association with a membership of over 40 million. It provides information education research advocacy and community services through a nationwide network of local chapters and experienced volunteers. It focuses its work on consumer issues economic security work health and independent living issues and engages in legislative judicial and consumer advocacy in these areas.
https://www.investopedia.com/terms/a/aba-bank-index.asp,ABA Bank Index,The ABA Bank Index is a banking index that comprises community banks and banking institutions. The ABA helped create the index to represent the smaller institutions of the banking industry in contrast to the KBW Banking Index that tracks larger banks. The ABA Bank Index trades on the Nasdaq under the symbol ABAQ.
https://www.investopedia.com/terms/aba-transit-number.asp,ABA Transit Number,ABA Transit Numbers also known as ABA Routing or Routing Transfer Numbers are used to identify specific U.S. financial institutions and appear on standard checks.
https://www.investopedia.com/terms/a/abacus.asp,Abacus,An abacus is a calculation tool used by sliding counters along rods or grooves used to perform mathematical functions. In addition to calculating the basic functions of addition subtraction multiplication and division the abacus can calculate roots up to the cubic degree.
https://www.investopedia.com/terms/a/abandon-rate.asp,Abandon Rate,Abandon rate is the percentage of tasks that are abandoned by the customer before completing the intended task. There are two common industries where abandon rate is a commonly used metric. The first is in call centers the second is online retailing.
https://www.investopedia.com/terms/a/abandoned-property.asp,Abandoned Property,Abandoned property is an asset that has been turned over to the state after several years of inactivity. States have abandoned property divisions that focus on the management and recovery of unclaimed property. Generally assets are turned over to the state after two to five years of inactivity.
https://www.investopedia.com/terms/a/abandonment.asp,Abandonment,Abandonment is the act of surrendering a claim to or interest in a particular asset. In securities markets abandonment is the permitted withdrawal from a forward contract that is made for the purchase of deliverable securities. For instance in some cases an options contract may not be worthwhile or profitable to exercise so the purchaser of the option lets it expire without being exercised.
https://www.investopedia.com/terms/a/abandonment-and-salvage.asp,Abandonment and Salvage,Abandonment and salvage describes the forfeiture of property and the ensuing claim over that property by a second party.
https://www.investopedia.com/terms/a/abandonment-clause.asp,Abandonment Clause,An abandonment clause in a property insurance contract under certain circumstances permits the property owner to abandon lost or damaged property and still claim a full settlement amount. If the insured partys property cannot be recovered or the cost to recover or repair it is more than its total value it can be abandoned and the insured party is entitled to a full settlement amount.
https://www.investopedia.com/terms/a/abandonmentoption.asp,Abandonment Option,An abandonment option is a clause in a contract granting parties the right to withdraw from the contract before maturity. It adds value by giving the parties the ability to end the obligation if it is unprofitable.
